email,homes,subject,resend_id,ts
bridges2recovery4you@gmail.com,cc621275-719f-4f6c-a8db-b9270e77ef8e,Run Bridges 2 Recovery in one app — from a non-profit,9005c906-a103-4e0f-a247-26aa752e9aef,2026-07-06 11:00:05
info@commongroundmn.org,ccc326f7-a294-4bef-af52-bb37288dc6f7,Run Common Ground - Rochester in one app — from a non-profit,e18fae5f-7a93-4786-98c2-3ddefcdc3751,2026-07-06 11:00:36
info@sabalrecoverycenters.com,cc63009d-49a8-4e31-b363-f3fa1f1fa00d,Run Sabal Recovery Centers in one app — from a non-profit,915a216d-988f-449a-914f-fdc8c8daf0c0,2026-07-06 11:01:06
info@startingpointnh.com,cd27753d-0529-4ac4-99b6-627fede586c6,Run Starting Point Sober Living in one app — from a non-profit,3a3a334d-834a-4a3b-9390-18566af6e6b2,2026-07-06 11:01:37
info@doverecoveryhouse.org,cdf895f2-8eed-44b0-913f-ed0072062371,Run Dove Recovery House for Women in one app — from a non-profit,e71b8ffc-7ca8-4d14-bdea-03cdd90b4047,2026-07-06 11:02:07
hazelsoulinc@gmail.com,ce8b1e2a-b196-4a1b-a658-34e5ac15ab74,Run Hazel Soul LLC in one app — from a non-profit,ffd1ee6b-97ba-478a-98e3-85f453685e4c,2026-07-06 11:02:37
neveralonetransitional@gmail.com,cfc5252e-be75-44e3-8c47-fc34cfdd36ea,Run Never Alone Recovery in one app — from a non-profit,5d82b289-46ed-456c-98a0-1d3af57e66a0,2026-07-06 11:03:07
info@covenantatlanta.org,ceaa7141-b8e5-4a8f-a725-7d29d3927559,Run Covenant Community in one app — from a non-profit,b92fbac5-84f0-4f1b-84b5-9d69c1d7c86a,2026-07-06 11:03:38
jay@sawtoothrivergroup.com,cf30564e-8cb4-4123-9709-78d27d49d1d2,Run 208 Houses Property Management (Sawtooth River Group) in one app — from a non-profit,58059d86-a389-4cd6-950a-43c992c14636,2026-07-06 11:04:08
serenityhousegb@gmail.com,d0cc13e8-0ea2-4dfe-a8fe-13193e47e6f3,Run Serenity House of Green Bay in one app — from a non-profit,26cab55e-d91f-4091-8d2e-1f7ef3c7804e,2026-07-06 11:04:38
info@stablerecovery.net,d9ff0193-9dac-4629-8acd-dfd68d20aa02,Run Stable Recovery in one app — from a non-profit,184bf0a9-31a8-4304-869e-f561d21cc798,2026-07-07 11:00:05
