listing_id,name,city,state,website,email,source,phone
02b863d7-d56a-4895-bd5e-a09f01501ad3,R3 House,Lancaster,PA,https://www.r3house.com,info@r3house.com,website,717-601-2555
05857f2a-e9a4-4bf5-801b-d04932216a70,Voices of Hope - Men's Recovery House,Elkton,MD,https://www.voicesofhopemaryland.org/recovery-houses,info@voicesofhopemaryland.org,website,(443) 993-7055
05f586d4-f276-4e25-a8ce-3b602ac6ae66,Serenity Treatment Center - Recovery Residences,Frederick,MD,https://www.serenitytreatmentcenter.com/,info@serenitytreatmentcenter.com,website,(301) 898-2627
068fc6d4-d269-4d81-8f6f-22bf339cd838,Loving Hands Ministry,,GA,https://www.lovinghands.net,info@lovinghands.net,website,(912) 559-0377
0677cdce-fd5a-48f7-80a3-2a5bda970f1a,"Safe Harbor of NC, Inc.",Hickory,NC,https://safeharbornc.org/,info@safeharbornc.org,website,(828) 326-7233
0720fff2-742e-43ab-b845-59960f3d6c8a,Rejuvenate Homes - The St. Paul House,St. Paul,MN,https://www.soberhomes.com/,doug@soberhomes.com,website,(612) 756-9339
06c850b6-0000-4d23-a9a9-d9b5104413c4,Oxford House Iris (Women's),Lawrence,KS,https://oxfordhousekansas.org/,wanko28@gmail.com,website,(785) 424-7979
07b28d75-92c3-48e3-ad67-1a8d79a3d7cd,Full Circle Recovery Services,Dayton,OH,https://ohiofullcircle.com/,info@ohiofullcircle.com,website,(800) 829-5461
01763cae-03c9-4e3f-9b08-11f5d4f12917,Jackie Nitschke Center Recovery Homes (Cornerstone / Lyndahl / Fabry House),Green Bay,WI,https://www.jackienitschkecenter.com/,admissions@jackienitschkecenter.com,website,920-435-2093
07352e00-b0a9-40a4-86f0-c938a15370cb,New Lyfe Solutions - Cherokee Lane,Las Vegas,NV,https://newlyfesolutions.com/las-vegas-sober-living-locations/,info@newlyfesolutions.com,website,(844) 463-9593
08a048db-7db6-4714-a0c2-9d155a1b1b94,Sana House,Charlotte,NC,https://sanahouse.com/,patrick@sanahouse.com,website,(704) 248-7572
06f62592-da22-418c-b821-d219247949bc,Home with Hope - Men's Recovery Home,Lafayette,IN,https://www.meridianhs.org/homewithhope,info@meridianhs.org,website,765-807-0009
0a535b99-8f88-43b3-bf55-83427aa9c031,Recovery Trail,Sevier County,TN,https://recoverytrail.org,toby@recoverytrail.org,website,865-654-3884
0b5e679a-7deb-4d45-96fa-8bd3ba87fb09,In the Meantime,Rock Hill,SC,https://itmrecoveryresidence.org,info@itmrecoveryresidence.org,website,704-658-7096
